13176,11,15-03-2025
13177,11,15-03-2025
13399,11,15-03-2025
14583,10,15-03-2025
14613,10,15-03-2025
14735,11,15-03-2025
14744,11,15-03-2025
14908,11,15-03-2025
14910,11,15-03-2025
14911,3,15-03-2025
14912,11,15-03-2025
14913,10,15-03-2025
14914,10,15-03-2025
14915,10,15-03-2025
14916,11,15-03-2025
14917,11,15-03-2025
14918,6,15-03-2025
14919,10,15-03-2025
14921,10,15-03-2025
14923,11,15-03-2025
14924,11,15-03-2025
14925,11,15-03-2025
14926,11,15-03-2025
16044,11,15-03-2025
16351,11,15-03-2025
16353,6,15-03-2025
16354,11,15-03-2025
16835,11,15-03-2025
16838,11,15-03-2025
18044,10,15-03-2025
18047,10,15-03-2025
18050,10,15-03-2025
18051,11,15-03-2025
18053,11,15-03-2025
18062,11,15-03-2025
18063,11,15-03-2025
18064,0,15-03-2025
18070,11,15-03-2025
18075,11,15-03-2025
18078,10,15-03-2025
18082,11,15-03-2025
18083,11,15-03-2025
18084,11,15-03-2025
18086,11,15-03-2025
18088,11,15-03-2025
18090,11,15-03-2025
18092,10,15-03-2025
18095,10,15-03-2025
18098,10,15-03-2025
18099,11,15-03-2025
18100,10,15-03-2025
18106,10,15-03-2025
18107,11,15-03-2025
18111,11,15-03-2025
18113,11,15-03-2025
18115,11,15-03-2025
18123,11,15-03-2025
18124,10,15-03-2025
18129,11,15-03-2025
18132,11,15-03-2025
18139,11,15-03-2025
18140,11,15-03-2025
18157,10,15-03-2025
18162,10,15-03-2025
18165,10,15-03-2025
18167,11,15-03-2025
18171,8,15-03-2025
18188,11,15-03-2025
18189,11,15-03-2025
